#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
COALITION_SIZE;Threat: $INFAMY|%Y0$/$LIMIT|%Y0$;Menace : $INFAMY|%Y0$/$LIMIT|%Y0$;Bedrohung: $INFAMY|%Y0$/$LIMIT|%Y0$;;Amenaza: $INFAMY|%Y0$/$LIMIT|%Y0$;;;;;;;;;x
INFAMY_LOWER_TRIGGER;$CHAR|Y$ Threat lower than $VALUE|Y$.;Menace de $CHAR|Y$ plus faible que $VALUE|Y$.;$CHAR|Y$ Bedrohung unter $VALUE|Y$.;;$CHAR|Y$ Amenaza menor de $VALUE|Y$.;;;;;;;;;x
INFAMY_HIGHER_TRIGGER;$CHAR|Y$ Threat higher than $VALUE|Y$.;Menace de $CHAR|Y$ plus élevée que $VALUE|Y$.;$CHAR|Y$ Bedrohung über $VALUE|Y$.;;$CHAR|Y$ Amenaza mayor de $VALUE|Y$.;;;;;;;;;x
CHANGE_INFAMY_EFFECT;$CHAR|Y$ Threat $VALUE|Y$ added.\n;Menace de $CHAR|Y$ gagne $VALUE|Y$.\n;$CHAR|Y$ Bedrohung $VALUE|Y$ hinzugefügt.\n;;$CHAR|Y$ añadido $VALUE|Y$ Amenaza.\n;;;;;;;;;x
nogovernment;No Government;Pas de gouvernement;Keine Regierungsform.;;Sin Gobierno;;;;;;;;;x
nogovernment_desc;No Government;Pas de gouvernement.;Keine Regierungsform;;Sin Gobierno;;;;;;;;;x
alert_council_discontent_name;Council Discontent;Insatisfaction du Conseil;Rat unzufrieden;;Consejo Descontento;;;;;;;;;x
alert_liege_council_discontent_name;Liege Council Discontent;Insatisfaction du Conseil du seigneur lige;Rat des Lehnsherrn unzufrieden;;Señor del Consejo Descontento;;;;;;;;;x
alert_peace_soon_enforced_name;Realm Peace Imminent;Paix dans le pays imminente;Reichsfrieden steht bevor;;Paz del Reino inminente;;;;;;;;;x
alert_peace_being_enforced_name;Realm Peace Enforced;Paix dans le pays décrétée;Reichsfrieden durchgesetzt;;Reino de Paz impuesta;;;;;;;;;x
alert_my_peace_soon_enforced_name;My Realm will soon be at Peace;Mon pays sera bientôt en paix;In meinem Reich wird bald Frieden herrschen;;Mi reino pronto estará en Paz;;;;;;;;;x
alert_high_infamy_name;Threatening;Menace;Bedrohlich;;Amenazante;;;;;;;;;x
EVTDESC_ZE_23000;Being on your liege's council is not always easy. You have a huge amount of work that needs attention and there is so much to do. The list seems endless. Just as you are about to give up, [target_help_councillor.GetTitledFirstName] steps through the door and asks if you want any help. As tempting it may be, you would be in [target_help_councillor.GetHerHis] debt for it.;Siéger au Conseil de votre seigneur lige n'est pas toujours facile. Vous avez une quantité de travail gigantesque qui requiert votre attention et il y a tant à faire. La liste semble sans fin. Alors que vous alliez abandonner, [target_help_councillor.GetTitledFirstName] passe le pas de votre porte et vous demande si vous avez besoin d'aide. Aussi tentant que cela soit, vous lui en serez redevable.;Es ist nicht immer einfach, im Rat Eures Lehnsherrn zu sitzen. Ihr müsst Euch so vielen Dingen widmen und es gibt so viel zu tun. Die Liste scheint endlos. Ihr wollt gerade aufgeben, als [target_help_councillor.GetTitledFirstName] durch die Türe schreitet und fragt, ob Ihr Hilfe benötigt. Dies klingt zwar verlockend, Ihr wärt [target_help_councillor.GetTitledFirstName] dann jedoch einen Gefallen schuldig.;;El Consejo de tu señor no es siempre fácil. Tienes una gran cantidad de trabajo que necesita atención y hay mucho que hacer. La lista parece interminable. Cuando estás a punto de renunciar, [target_help_councillor.GetTitledFirstName] atraviesa la puerta y te pregunta si quieres ayuda. Por atractivo que pueda ser, estarías en deuda con [target_help_councillor.GetHerHis] por ello.;;;;;;;;;x
EVTOPTA_ZE_23000;I suppose I could use some help...;Je suppose que cette aide me serait bien utile...;Ein wenig Hilfe käme mir schon gelegen ...;;Supongo que un poco de ayuda me vendría bien.;;;;;;;;;x
EVTOPTB_ZE_23000;No! I can manage!;Non, je peux m'en sortir sans aide !;Nein! Ich schaffe das alleine!;;¡No! ¡Puedo con ello!;;;;;;;;;x
EVTDESC_ZE_23001;When casually strolling around the premises, as one often do, you come across [From.GetTitledFirstName] sitting at [From.GetHerHis] desk, overburdened with work. Seeing this as the perfect opportunity to help [From.GetHerHim] out and perhaps gain a favor in return, you offer a helping hand. [From.GetSheHeCap] looks at you with heavy eyes and after a moment, decides to accept your offer!;En flânant dans les locaux, comme à l'accoutumée, vous tombez sur [From.GetTitledFirstName], à son bureau, avec une énorme quantité de travail. Vous réalisez qu'il s'agit là d'une parfaite opportunité de l'aider et éventuellement de gagner ses faveurs en retour. [From.GetIlElleCap] vous regarde avec de grands yeux et, après un moment, se décide à accepter votre offre !;Ihr schlendert gemütlich durch die Gänge, wie es häufig Eure Art ist. An einem Schreibtisch trefft Ihr [From.GetTitledFirstName], tief in Arbeit versunken. Dies erscheint Euch die perfekte Gelegenheit zu sein, [From.GetTitledFirstName] Eure Hilfe anzubieten und Euch im Gegenzug vielleicht einen Gefallen zu sichern. [From.GetSheHeCap] blickt Euch mit müden Augen an und akzeptiert nach kurzem Zögern Euer Angebot!;;Cuando casualmente estás paseando por el lugar, como haces a menudo, encuentras a [From.GetTitledFirstName] sentado en [From.GetHerHis] escritorio, sobrecargado de trabajo. Viendo esto como la oportunidad perfecta para ayudar[From.GetHerHim] y tal vez ganar un favor a cambio, ofreces echar una mano. ¡[From.GetSheHeCap] te mira con ojos pesados y después de un momento, decide aceptar tu oferta!;;;;;;;;;x
EVTOPTA_ZE_23001;I wasn't doing anything important anyway.;De toute façon, je n'avais rien d'important à faire.;Ich hatte gerade sowieso nichts Wichtiges zu tun.;;De todas maneras, no estaba haciendo nada importante.;;;;;;;;;x
EVTDESC_ZE_23002;When casually strolling around the premises, as one often do, you come across [From.GetTitledFirstName] sitting at [From.GetHerHis] desk, overburdened with work. You see this as a great opportunity to help [From.GetHerHim] out and gain a favor in return. But to your surprise, [From.GetSheHe] not only refuses your help but has the nerve to insult you for it!;En flânant dans les locaux, comme à l'accoutumée, vous tombez sur [From.GetTitledFirstName], à son bureau, avec une énorme quantité de travail. Vous réalisez qu'il s'agit là d'une parfaite opportunité de l'aider et éventuellement de gagner ses faveurs en retour. À votre grand étonnement, [From.GetIlElle] refuse non seulement votre aide, mais vous insulte copieusement pour votre proposition !;Ihr schlendert gemütlich durch die Gänge, wie es häufig Eure Art ist. An einem Schreibtisch trefft Ihr [From.GetTitledFirstName], tief in Arbeit versunken. Dies erscheint Euch eine gute Gelegenheit zu sein, [From.GetTitledFirstName] Eure Hilfe anzubieten und Euch im Gegenzug einen Gefallen zu sichern. Doch zu Eurem Erstaunen lehnt [From.GetSheHe] Euer Angebot nicht nur ab, sondern besitzt zudem die Frechheit, Euch dafür zu maßregeln!;;Cuando casualmente estás paseando por el lugar, como haces a menudo, encuentras a [From.GetTitledFirstName] sentado en [From.GetHerHis] escritorio, sobrecargado de trabajo. Viendo esto como la oportunidad perfecta para ayudar[From.GetHerHim] y tal vez ganar un favor a cambio, ofreces echar una mano. ¡Pero para tu sorpresa, [From.GetSheHe] no sólo rechaza tu ayuda, sino que tiene la desfachatez de insultarte!;;;;;;;;;x
EVTOPTA_ZE_23002;Ha! Well good luck with that work of yours!;Bien... bonne chance avec cette pile de travail, alors !;Ha! Dann viel Glück bei Eurer Arbeit!;;¡Ja! ¡Buena suerte con el trabajo!;;;;;;;;;x
EVTDESC_ZE_23005;Every ruler needs to go out and meet the peasants in person from time to time. Just to make sure that they know you still exist if nothing else. As you visit the locals of [helping_vassal.Capital.GetName], you speak very frankly about what you think of them. Something that they took great offense in it seems. You look back to ensure that your guards are there to keep you out of harm's way, only to notice that they have all gone into the local tavern! Before you know it, the peasants begin to throw things at you!;Tout dirigeant a besoin d'aller à la rencontre des paysans de temps en temps. Ne serait-ce que pour leur rappeler son existence. Alors que vous rendez visite aux habitants de [helping_vassal.Capital.GetName], vous dites très franchement ce que vous pensez d'eux. Les voilà maintenant extrêmement vexés. Vous regardez derrière vous pour vérifier que vos gardes sont là pour vous protéger et vous apercevez qu'ils ont tous filé à la taverne la plus proche ! Soudainement, les paysans se mettent à vous lancer des choses !;Jeder Herrscher muss sich von Zeit zu Zeit persönlich bei seinen Bauern blicken lassen, und sei es nur, um sie wissen zu lassen, dass es Euch noch gibt. Während eines Besuchs in [helping_vassal.Capital.GetName] tut Ihr Eure Meinung über die dortigen Einwohner frei kund, was diese Euch offenkundig verübeln. Ihr seht Euch schutzsuchend nach Euren Wachen um und müsst feststellen, dass diese sich allesamt in die örtliche Taverne begeben haben! Und schon bewerfen Euch die Bauern mit Gegenständen!;;Cada gobernante debe salir y conocer a los campesinos en persona de vez en cuando. Aunque solo sea para que sepan que todavía existes. Al visitar a los campesinos de [helping_vassal.Capital.GetName], dices muy francamente lo que piensas de ellos. Algo por lo que al parecer se ofendieron bastante. Miras de reojo para asegurarse de que tus guardias están ahí para mantenerte a salvo, ¡para ver que se han ido a la taberna local! ¡Cuando te quieres dar cuenta, los campesinos empiezan a tirarte cosas!;;;;;;;;;x
EVTOPTA_ZE_23005;I could run to [helping_vassal.GetTitledFirstName] and hide there!;Je pourrais courir chez [helping_vassal.GetTitledFirstName] et me cacher là-bas !;Ich könnte zu [helping_vassal.GetTitledFirstName] flüchten und mich dort verstecken!;;¡Podría correr a [helping_vassal.GetTitledFirstName] y esconderme allí!;;;;;;;;;x
EVTOPTB_ZE_23005;Maybe I can just outrun them?;Peut-être que je peux simplement les distancer ?;Vielleicht kann ich ihnen einfach davonlaufen?;;¿A lo mejor puedo simplemente dejarles atrás?;;;;;;;;;x
EVTOPTA_ZE_23005_custom_tooltip_a;Run for safety at the nearby residence of [helping_vassal.GetTitledFirstName] and hope that [helping_vassal.GetSheHe] will help.;Courez vous mettre en lieu sûr dans la proche résidence de [helping_vassal.GetTitledFirstName] et espérez qu'[helping_vassal.GetIlElle] vous viendra en aide.;Lauft zum Anwesen von [helping_vassal.GetTitledFirstName] und hofft, dass [helping_vassal.GetSheHe] helfen wird.;;Corres en busca de seguridad, a [helping_vassal.GetTitledFirstName] que vive cerca y esperas que [helping_vassal.GetSheHe] ayude.;;;;;;;;;x
EVTOPTA_ZE_23005_custom_tooltip_b;[Root.GetTitledName] getting away safely;[This.GetTitledName] s’enfuit en toute sécurité.;[Root.GetTitledName] bringt sich in Sicherheit;;[Root.GetTitledName] se escapó sin peligro;;;;;;;;;x
EVTDESC_ZE_23006;You are calmly minding your own business, when you suddenly hear an awful ruckus outside. You open the door to see [From.GetTitledFirstName] running towards you with a mob of angry peasants at [From.GetHerHis] heels! If you would offer [From.GetHerHim] a place to hide, [From.GetSheHe] would truly be in your debt.;Vous vous occupez calmement de vos affaires lorsque vous entendez soudainement un grand boucan provenant de l'extérieur. Vous ouvrez la porte et voyez [From.GetTitledFirstName] courir vers vous avec une foule de paysans en colère à ses trousses ! Si vous lui offrez un endroit où se cacher, [From.GetIlElle] vous sera véritablement redevable.;Ihr kümmert Euch gerade um Eure eigenen Angelegenheiten, als Ihr draußen einen Tumult vernehmt. Ihr öffnet die Tür und seht [From.GetTitledFirstName] auf der Flucht vor einem Pack wütender Bauern. [From.GetSheHeCap] hastet in Richtung Eures Hauses, und wenn Ihr [From.GetTitledFirstName] bei Euch verstecken würdet, stünde [From.GetSheHe] wahrlich in Eurer Schuld.;;Estas ocupándote de tus cosas, cuando de repente escuchas un tremendo alboroto fuera. ¡Abres la puerta para ver a [From.GetTitledFirstName] correr hacia ti con una muchedumbre de campesinos enojados a [From.GetHerHis] talones! Si [From.GetHerHim] ofreces lugar para esconderse, [From.GetSheHe] estaría realmente en deuda contigo.;;;;;;;;;x
EVTOPTA_ZE_23006;Quickly! Over here!;Vite ! Par ici !;Schnell! Hierher!;;¡Corre! ¡Ven aquí!;;;;;;;;;x
EVTOPTB_ZE_23006;I'm not getting involved in this!;Je ne m'impliquerai pas dans cette histoire !;Damit möchte ich nichts zu tun haben!;;¡No me meto en esto!;;;;;;;;;x
EVTDESC_ZE_23007;As you get closer you can see [From.GetTitledFirstName] standing in a doorway waving at you! You hurry towards [From.GetHerHim] and once inside, [From.GetFirstName] quickly closes the door. Safe at last. Who would ever have thought that peasants would be so easily insulted?;En vous approchant, vous pouvez voir que [From.GetTitledFirstName] se tient dans l'embrasure de la porte et vous fait signe ! Vous foncez vers [From.GetLuiElle] et une fois à l'intérieur, [From.GetFirstName] ferme rapidement la porte. Vous êtes enfin en sécurité. Qui aurait pu penser que les paysans se vexeraient si facilement ?;Als Ihr Euch dem Haus nähert, seht Ihr [From.GetTitledFirstName] in der Tür stehen und Euch zuwinken. Ihr hastet ins Haus und [From.GetFirstName] verriegelt schnell die Tür hinter Euch. Endlich in Sicherheit. Wer hätte gedacht, dass Bauern so leicht zu erzürnen sind?;;¡Según te acercas puedes ver a [From.GetTitledFirstName] de pie en la puerta haciéndote señales! Te das prisa hacia él y una vez dentro, [From.GetFirstName] rápidamente se cierra la puerta. Por fin a salvo. ¿Quién habría creído que los campesinos se ofenderían tan fácilmente?;;;;;;;;;x
EVTOPTA_ZE_23007;Thank you! I owe you one.;Merci ! Je vous suis vraiment redevable.;Habt Dank! Ich stehe in Eurer Schuld!;;¡Muchas gracias! Te debo un favor.;;;;;;;;;x
EVTDESC_ZE_23008;Running as fast as you possibly could, you see [From.GetTitledFirstName] standing in a doorway. But instead of offering you a safe place to hide, [From.GetSheHe] quickly closes the door right in front of you! Leaving you to fend for yourself!;Courant aussi vite que possible, vous apercevez [From.GetTitledFirstName] qui se tient dans l'embrasure de la porte. Mais plutôt que de vous offrir un abri, [From.GetIlElle] s'empresse de vous fermer la porte au nez ! Vous voilà seul face à vos adversaires !;Ihr lauft so schnell Ihr nur könnt und seht [From.GetTitledFirstName] in der Tür stehen. Doch anstatt Euch Unterschlupf zu gewähren, schlägt [From.GetSheHe] Euch hastig die Tür vor der Nase zu! Ihr seid auf Euch allein gestellt!;;Al correr tan rápido como es posible, ves [From.GetTitledFirstName] de pie en la puerta. Pero en lugar de ofrecerte un lugar seguro para esconderse, ¡[From.GetSheHe] rápidamente cierra la puerta justo frente a ti! ¡Dejándote que te las apañes por ti mismo!;;;;;;;;;x
EVTOPTA_ZE_23008;Why that little...;Ho ! Quelle impudence... !;Welch Unverfrorenheit ...;;Maldito...;;;;;;;;;x
change_composition_mercenary_company_feudal;Send Equipment to Company;Envoyer l'équipement à la compagnie;Ausrüstung an Trupp senden;;Enviar equipo a compañía;;;;;;;;;x
change_composition_mercenary_company_feudal_desc;By sending more equipment to the Mercenary Company, they will be able to equip lighter units to become heavier units and change its composition.;En envoyant davantage d'équipement à la compagnie de mercenaires, ils pourront équiper les unités les plus légères afin d'en faire des unités lourdes et ainsi changer la composition de leurs rangs.;Wenn Ihr den Söldnertrupp mit mehr Ausrüstung versorgt, können leichtere Einheiten zu schwereren aufgewertet werden, um die Zusammenstellung des Trupps zu verändern.;;Enviando más equipos a la compañía mercenaria, podrán equipar más a las unidades ligeras para que sean más pesadas y cambiar su composición.;;;;;;;;;x
send_troops_mercenary_company_feudal;Send Troops to Company;Envoyer des troupes à la compagnie;Truppen an Trupp senden;;Enviar la tropas a compañía;;;;;;;;;x
send_troops_mercenary_company_feudal_desc;By paying for more troops for the Mercenary Company you can increase its size.;En finançant davantage de troupes pour la compagnie de mercenaires, vous pouvez en augmenter la taille.;Wenn Ihr weitere Truppen für den Söldnertrupp kauft, könnt Ihr diesen erweitern.;;Pagando más tropas a la compañía mercenaria puede aumentar su tamaño.;;;;;;;;;x
EVTDESC_ZE_23101;I can send equipment of higher quality to the troops of [From.PrimaryTitle.GetName] in order to change its troop composition and make them perform better in combat.;Je peux envoyer de l'équipement de meilleure qualité aux troupes de [From.PrimaryTitle.GetName] afin de changer la composition de ses troupes et améliorer leurs performances au combat.;Ich kann Ausrüstung höherer Qualität an die Truppen von [From.PrimaryTitle.GetName] senden, um die Truppenzusammenstellung zu ändern und ihre Kampffertigkeiten zu verbessern.;;Puedo enviar equipos de mayor calidad a las tropas de [From.PrimaryTitle.GetName] para cambiar la composición de su tropa y que se comporten mejor en combate.;;;;;;;;;x
EVTOPTA_ZE_23101;Send equipment for heavy infantry.;Envoyer de l'équipement pour l'infanterie lourde.;Ausrüstung für schwere Infanterie senden.;;Enviar equipo de infantería pesada.;;;;;;;;;x
EVTOPTB_ZE_23101;Send equipment for pikemen.;Envoyer de l'équipement pour les piquiers.;Ausrüstung für Pikeniere senden.;;Enviar equipo de piqueros.;;;;;;;;;x
EVTOPTC_ZE_23101;Send equipment for heavy cavalry.;Envoyer de l'équipement pour la cavalerie lourde.;Ausrüstung für schwere Kavallerie senden.;;Enviar equipo de caballería pesada.;;;;;;;;;x
EVTOPTD_ZE_23101;I changed my mind.;J’ai changé d’avis.;Ich habe es mir anders überlegt.;;Cambié de opinión.;;;;;;;;;x
EVTDESC_ZE_23106;I have the possibility to send troops to [From.GetFirstName] and his [From.PrimaryTitle.GetName] to reinforce them.;J'ai la possibilité d'envoyer des troupes à [From.GetFirstName] et sa [From.PrimaryTitle.GetName] pour la renforcer.;Ich habe die Gelegenheit, Truppen an [From.GetFirstName] und [From.PrimaryTitle.GetName] zu senden, um sie zu unterstützen.;;Tengo la posibilidad de enviar tropas a [From.GetFirstName] y su [From.PrimaryTitle.GetName] a reforzarlos.;;;;;;;;;x
EVTOPTA_ZE_23106;Send more soldiers.;Envoyer plus d'infanterie.;Mehr Soldaten senden.;;Enviar más soldados.;;;;;;;;;x
EVTOPTB_ZE_23106;Send more cavalry.;Envoyer plus de cavalerie.;Mehr Kavallerie senden.;;Enviar más caballería.;;;;;;;;;x
EVTDESC_ZE_23152;While being in your service, [From.GetTitledFirstName] has been speaking to you about his employer, [merc_band_employer.GetTitledFirstName]. So far you have only heard good things about [merc_band_employer.GetHerHim] and it has made you intrigued. Perhaps one should try to establish contact and offer a pact or a meeting?;Tout en étant à votre service, [From.GetTitledFirstName] vous a parlé de son employeur, [merc_band_employer.GetTitledFirstName]. Jusqu'ici, vous n'avez entendu que de bonnes choses à son sujet et votre curiosité en a été piquée. Peut-être que vous devriez essayer d'établir un contact et proposer un pacte ou une rencontre ?;Während [From.GetTitledFirstName] in Euren Diensten stand, erzählte er Euch von seinem Auftraggeber, [merc_band_employer.GetTitledFirstName]. Über [merc_band_employer.GetTitledFirstName] kam Euch bisher nur Gutes zu Ohren, was Euer Interesse weckte. Vielleicht wäre es angebracht, Kontakt aufzunehmen und ein Übereinkommen oder ein Treffen anzubieten?;;Mientras estaba a tu servicio, [From.GetTitledFirstName] ha estado hablándote sobre su patrón, [merc_band_employer.GetTitledFirstName]. Hasta ahora sólo has oído cosas buenas sobre [merc_band_employer.GetHerHim] y te ha intrigado. ¿Quizás habría que tratar de establecer contacto y ofrecer un pacto o una reunión?;;;;;;;;;x
EVTOPTA_ZE_23152;I shall write a letter at once!;Je vais immédiatement lui écrire une lettre.;Ich werde sofort einen Brief aufsetzen!;;¡Escribiré una carta inmediatamente!;;;;;;;;;x
EVTOPTB_ZE_23152;This person is of no interest to me.;Cette personne n'a aucun intérêt pour moi.;Diese Person ist für mich nicht von Interesse.;;Esta persona no tiene ningún interés para mí.;;;;;;;;;x
EVTDESC_ZE_23154;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nYour servant [FromFrom.GetTitledFirstName] has been speaking a great deal about you and your virtues. I would be delighted to meet you face to face and as such, I invite you to a grand feast to be held in your name.\n\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nVotre serviteur [FromFrom.GetTitledFirstName] a fait grand état de votre personnalité et de vos vertus. Ce serait une joie de vous rencontrer en personne et à ces fins, je vous invite à prendre part à un grand banquet qui sera tenu en votre honneur.\n\n[From.GetTitledName];[Root.GetFirstName],\nEuer Diener [FromFrom.GetTitledFirstName] wusste viel über Euch und Eure Taten zu berichten. Ich würde Euch liebend gerne von Angesicht zu Angesicht treffen und lade Euch daher ein, an einem großen Festmahl zu Ehren Eures Namens teilzunehmen.\n\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\nTu servidor, [FromFrom.GetTitledFirstName] me ha hablado mucho de ti y tus virtudes. Me encantaría conocerte cara a cara y por lo tanto, te invito a una gran fiesta que se celebrará en tu nombre.\n\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_23154;Of course I shall attend!;J'accepte, bien évidemment !;Natürlich werde ich kommen!;;¡Por supuesto que asistiré!;;;;;;;;;x
EVTOPTB_ZE_23154;I have no interest in such an arrangement.;Un tel arrangement ne m'intéresse absolument pas.;An solch einem Treffen habe ich kein Interesse.;;No tengo ningún interés en un acuerdo de ese tipo.;;;;;;;;;x
EVTDESC_ZE_23155;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI received your letter and read it with much joy. I would love to attend your feast, and will make preparations to depart shortly.\n\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nJ'ai bien reçu votre lettre et l'ai lue avec une grande joie. J'aimerais beaucoup participer à ce banquet et vais organiser les préparatifs pour partir dans les plus brefs délais \n\n[From.GetTitledName];[Root.GetFirstName],\nich habe Euren Brief erhalten und mit großer Freude gelesen. Ich nehme gerne an Eurem Festmahl teil und werde alle Vorkehrungen für meine baldige Abreise treffen.\n\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\nRecibí tu carta y la leí con mucha alegría. Me encantaría asistir a tu fiesta y pronto haré los preparativos para partir pronto.\n\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_23155;Splendid!;Splendide !;Bestens!;;¡Espléndido!;;;;;;;;;x
EVTDESC_ZE_23156;To the [GetFromRootCompliment] [Root.GetFirstName],\n\nI appreciate your letter and the effort you put into it. Unfortunately, I am afraid that I am unable to attend at this time.\n\n[From.GetTitledName];[Root.GetFirstName], [GetFromRootComplimentNounAdj],\n\nJ'apprécie votre lettre et l'effort qui lui est associé. Malheureusement, je suis dans l'incapacité de me joindre à vous.\n\n[From.GetTitledName];[Root.GetFirstName],\nich weiß Euren Brief und die Mühe, die Ihr darin investiert habt, zu schätzen. Leider sehe ich mich außerstande, diese Einladung wahrzunehmen.\n\n[From.GetTitledName];;Para [GetFromRootCompliment] [Root.GetFirstName],\n\nAgradezco tu carta y el esfuerzo puesto en ella. Por desgracia, me temo que no puedo asistir en este momento.\n\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_ZE_23156;How disappointing.;Quelle déception.;Wie enttäuschend.;;Qué decepción.;;;;;;;;;x
EVTDESC_ZE_23157;When [FromFrom.GetTitledFirstName] arrived, you welcomed [FromFrom.GetHerHim] with great splendor and expressed your happiness of having [FromFrom.GetHerHim] there. The two of you ate and spoke at great length about all sorts of things. When it was time for [FromFrom.GetFirstName] to leave, you had not only decided on a non-aggression pact, but could also depart as friends!;Vous avez réservé un accueil somptueux à [FromFrom.GetTitledFirstName] et avez exprimé votre joie quant à sa présence. Vous avez ensuite mangé ensemble et discuté longuement, si bien qu'au moment de partir, [FromFrom.GetFirstName] et vous aviez non seulement convenu de signer un pacte de non-agression, mais également développé de solides liens d'amitié.;Ihr bereitet [FromFrom.GetTitledFirstName] einen prunkvollen Empfang und bringt Eure Freude über Euren Gast gebührend zum Ausdruck. Bei einem ausgiebigen Mahl sprecht Ihr über allerlei Angelegenheiten. Als [FromFrom.GetFirstName] wieder abreist, habt Ihr Euch nicht nur auf einen Nichtangriffspakt geeinigt, sondern könnt Euch fortan sogar als gute Freunde bezeichnen!;;Cuando llegó [FromFrom.GetTitledFirstName] [FromFrom.GetHerHim] la bienvenida con gran esplendor y expresó su felicidad de tener [FromFrom.GetHerHim] allí. Comisteis y hablasteis prolongadamente sobre todo tipo de cosas. Cuando llegó el momento de que [FromFrom.GetFirstName] partiese, no sólo había decidido en un pacto de no agresión, ¡sino también os separasteis como amigos!;;;;;;;;;x
EVTOPTA_ZE_23157;Let us do this again sometime!;Nous devons refaire ça un de ces jours !;Diesem Festmahl sollten weitere folgen!;;¡Repitamos esto algún día!;;;;;;;;;x
EVTTITLE_ZE_23157;Attended feast together;Avez participé au banquet ensemble;Gemeinsam am Festmahl teilgenommen;;Asistieron a la fiesta juntos;;;;;;;;;x
EVTDESC_ZE_23158;When you arrived, [From.GetTitledFirstName] was there to welcome you in the most grandeur of ways. [From.GetSheHe] showed you inside, where you ate and spoke at great length and had a great time together. Both of you decided on a non-aggression pact and could also depart as friends!;Lors de votre arrivée, [From.GetTitledFirstName] était là pour vous accueillir de la plus grande des façons. [From.GetIlElleCap] vous a accompagné à l'intérieur où vous avez mangé et discuté longuement et avez passé un excellent moment. Vous avez ainsi décidé de former un pacte de non-agression sur la base de cette nouvelle amitié !;Bei Eurer Ankunft bereitete Euch [From.GetTitledFirstName] einen prunkvollen Empfang. [From.GetSheHeCap] lud Euch dazu ein, zu speisen und über allerlei Angelegenheiten zu sprechen. Der Austausch war für Euch beide ein Genuss. Ihr konntet Euch auf einen Nichtangriffspakt einigen und habt den Grundstein für eine tiefe Freundschaft gelegt!;;Cuando llegó, [From.GetTitledFirstName] estaba allí para darte la bienvenida a lo grande. [From.GetSheHe] te mostró el interior, donde comisteis, hablasteis largamente y os divertisteis juntos. ¡Los dos decidisteis un pacto de no agresión y también pudisteis separaros como amigos!;;;;;;;;;x
EVTOPTA_ZE_23158;I was glad to have accepted your invitation!;Accepter votre invitation a fait mon bonheur !;Ich bin froh, dass ich Eurer Einladung gefolgt bin!;;¡Me alegro de haber aceptado su invitación!;;;;;;;;;x
#INFAMY_LOWER_TRIGGER;$CHAR|Y$ Infamy lower than $VALUE|Y$.;;$CHAR|Y$ Infamie unter $VALUE|Y$.;;$CHAR|Y$ Infamia más abaja de $VALUE|Y$.;;;;;;;;;x
#INFAMY_HIGHER_TRIGGER;$CHAR|Y$ Infamy higher than $VALUE|Y$.;;$CHAR|Y$ Infamie über $VALUE|Y$.;;$CHAR|Y$ Infamia más alta de $VALUE|Y$.;;;;;;;;;x
#CHANGE_INFAMY_EFFECT;$CHAR|Y$ Infamy $VALUE|Y$ added.;;$CHAR|Y$ Infamie $VALUE|Y$ hinzugefügt.;;$CHAR|Y$ añade $VALUE|Y$ Infamia.;;;;;;;;;x
RESTORE_SUCCESSION_EFFECT;$TITLE|Y$ restores the law of $LAW|Y$.;$TITLE|Y$ restaure la loi de $LAW|Y$.;$TITLE|Y$ setzt $LAW|Y$-Gesetz wieder in Kraft.;;$TITLE|Y$ restaura la ley de $LAW|Y$.;;;;;;;;;x
succ_council_elective;Council Elective;Conseil électif;Ratswahl;;Elección del Consejo;;;;;;;;;x
COUNCIL_SUCCESSION_VOTE_ON;Enables council voting on succession;Active le vote du Conseil sur la succession;Aktiviert Ratsabstimmung über Erbfolge;;Permite el consejo que vota sobre la sucesión;;;;;;;;;x
COUNCIL_SUCCESSION_VOTE_OFF;Disables council voting on succession;Désactive le vote du Conseil sur la succession;Deaktiviert Ratsabstimmung über Erbfolge;;Desactiva que el consejo vote sobre la sucesión;;;;;;;;;x
ATTRITION_SHATTERED_HOSTILE_TERRITORY;Shattered retreat in enemy territory: §R+$VALUE$%§!;Retraite anéantie en territoire ennemi : §R+$VALUE$%§!;Chaotischer Rückzug in feindlichem Gebiet: §R+$VALUE$%§!;;¡Retirada destrozada a territorio enemigo: §R+$VALUE$%§!;;;;;;;;;x
ATTRITION_SHATTERED_NEUTRAL_TERRITORY;Shattered retreat in neutral territory: §R+$VALUE$%§!;Retraite anéantie en territoire neutre : §R+$VALUE$%§!;Chaotischer Rückzug in neutralem Gebiet: §R+$VALUE$%§!;;Retirada destrozada a territorio neutral: §R+$VALUE$%§!;;;;;;;;;x
